MikeTolbert|CAR|1|1|12|12.0|12.0|0|1|2|12|12.0|12.0|6|0.0|0|0|0|0
CharlesSims|TAM|1|5|12|12.0|2.4|0|2|5|12|12.0|2.4|18|0.0|1|0|0|0
JoshRobinson|IND|1|4|11|11.0|2.8|0|0|0|11|11.0|2.8|0|N/A|0|0|0|0
ChrisThompson|WAS|1|3|11|11.0|3.7|0|0|1|11|11.0|3.7|0|N/A|0|0|0|0
BobbyRainey|TAM|1|3|10|10.0|3.3|0|1|1|10|10.0|3.3|4|0.0|1|0|0|0
DexterMcCluster|TEN|1|2|8|8.0|4.0|0|0|0|8|8.0|4.0|0|N/A|0|0|0|0
WillJohnson|PIT|1|4|7|7.0|1.8|1|0|0|7|7.0|1.8|0|N/A|0|1|0|0
JamizeOlawale|OAK|1|1|6|6.0|6.0|0|3|3|6|6.0|6.0|11|0.0|1|0|0|0
ZachZenner|DET|1|2|6|6.0|3.0|0|0|0|6|6.0|3.0|0|N/A|0|0|0|0
ThomasRawls|SEA|1|2|5|5.0|2.5|0|0|0|5|5.0|2.5|0|N/A|0|0|0|0
TaiwanJones|OAK|1|3|5|5.0|1.7|0|1|1|5|5.0|1.7|13|0.0|1|0|0|0
AustinJohnson|NOR|1|1|4|4.0|4.0|0|2|3|4|4.0|4.0|3|0.0|1|0|0|0
BrandenOliver|SDG|1|2|4|4.0|2.0|0|1|1|4|4.0|2.0|17|0.0|1|0|0|0
ShaunDraughn|CLE|1|1|4|4.0|4.0|0|0|1|4|4.0|4.0|0|N/A|0|0|0|0
IsaiahPead|STL|1|2|3|3.0|1.5|0|0|0|3|3.0|1.5|0|N/A|0|0|1|1
TylerVarga|IND|1|1|2|2.0|2.0|0|1|1|2|2.0|2.0|18|0.0|1|0|0|0
DerrickColeman|SEA|1|1|2|2.0|2.0|0|0|0|2|2.0|2.0|0|N/A|0|0|0|0
JamesStarks|GNB|1|2|2|2.0|1.0|0|0|0|2|2.0|1.0|0|N/A|0|0|0|0
TommyBohanon|NYJ|1|2|2|2.0|1.0|0|0|0|2|2.0|1.0|0|N/A|0|0|0|0
FozzyWhittaker|CAR|1|2|2|2.0|1.0|0|2|2|2|2.0|1.0|5|0.0|0|0|0|0
BoobieDixon|BUF|1|3|1|1.0|0.3|1|0|0|1|1.0|0.3|0|N/A|0|1|0|0
BrandonBolden|NWE|1|5|1|1.0|0.2|0|1|2|1|1.0|0.2|12|6.0|1|0|0|0
JeremyLangford|CHI|1|1|1|1.0|1.0|0|0|0|1|1.0|1.0|0|N/A|0|0|0|0
AnthonySherman|KAN|1|0|0|0.0|N/A|0|1|1|0|0.0|N/A|0|0.0|0|0|0|0
MalcolmJohnson|CLE|1|0|0|0.0|N/A|0|2|2|0|0.0|N/A|8|0.0|0|0|0|0
KyleJuszczyk|BAL|1|0|0|0.0|N/A|0|4|4|0|0.0|N/A|9|0.0|0|0|0|0
JorvorskieLane|TAM|1|1|0|0.0|0.0|0|0|0|0|0.0|0.0|0|N/A|0|0|0|0
CoreyGrant|JAC|1|0|0|0.0|N/A|0|1|1|0|0.0|N/A|5|0.0|0|0|0|0
RexBurkhead|CIN|1|0|0|0.0|N/A|0|1|1|0|0.0|N/A|24|0.0|1|0|0|0
JeromeFelton|BUF|1|0|0|0.0|N/A|0|0|1|0|0.0|N/A|0|N/A|0|0|0|0
BernardPierce|JAC|1|0|0|0.0|N/A|0|1|2|0|0.0|N/A|4|0.0|0|0|0|0
DamienWilliams|MIA|1|1|0|0.0|0.0|0|1|1|0|0.0|0.0|3|0.0|0|0|0|0
DarrelYoung|WAS|1|0|0|0.0|N/A|0|1|1|0|0.0|N/A|0|0.0|0|0|0|0
MarcelReece|OAK|1|0|0|0.0|N/A|0|3|4|0|0.0|N/A|11|0.0|2|0|0|0
DavidJohnson|ARI|1|0|0|0.0|N/A|0|1|2|0|0.0|N/A|55|0.0|1|0|0|0
LanceDunbar|DAL|1|0|0|0.0|N/A|0|8|8|0|0.0|N/A|24|0.0|4|0|0|0
TheoRiddick|DET|1|0|0|0.0|N/A|0|2|2|0|0.0|N/A|21|0.0|2|0|0|0
