JohnBrown|ARI|1||4|7|46|46.0|11.5|14|0.0|3|1||0|0|0|0|0||0|0|0|0|0||0|0|
DonteMoncrief|IND|1||6|11|46|46.0|7.7|15|0.0|4|1||1|5|5.0|5|0||0|0|N/A|0|0||0|0|
TravisBenjamin|CLE|1||3|3|89|89.0|29.7|54|0.0|3|1||0|0|N/A|0|0||1|10|10.0|10|0||0|0|
DevinStreet|DAL|1||0|1|0|0.0|N/A|0|N/A|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
MichaelCampanaro|BAL|1||1|2|8|8.0|8.0|8|0.0|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
WillieSnead|NOR|1||1|3|63|63.0|63.0|63|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
CoreyBrown|CAR|1||2|3|13|13.0|6.5|7|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
BrandonColeman|NOR|1||4|7|41|41.0|10.3|19|0.0|2|1||0|0|0|0|0||0|0|0|0|0||0|0|
AllenHurns|JAC|1||5|7|60|60.0|12.0|24|0.0|4|0||0|0|0|0|0||0|0|0|0|0||1|1|
DavanteAdams|GNB|1||4|8|59|59.0|14.8|25|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
RishardMatthews|MIA|1||4|6|34|34.0|8.5|15|0.0|3|1||0|0|0|0|0||0|0|0|0|0||0|0|
HarryDouglas|TEN|1||2|2|24|24.0|12.0|20|0.0|2|1||0|0|0|0|0||0|0|0|0|0||0|0|
AndreCaldwell|DEN|1||1|1|1|1.0|1.0|1|0.0|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
DeSeanJackson|WAS|1||0|1|0|0.0|N/A|0|N/A|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
EddieRoyal|CHI|1||1|5|8|8.0|8.0|8|0.0|0|0||0|0|0|0|0||0|0|0|0|0||0|0|
JamesJones|GNB|1||4|4|51|51.0|12.8|34|0.0|4|2||0|0|0|0|0||0|0|0|0|0||0|0|
PierreGarcon|WAS|1||6|8|74|74.0|12.3|22|0.0|4|0||0|0|0|0|0||0|0|0|0|0||0|0|
StevieJohnson|SDG|1||6|6|82|82.0|13.7|34|0.0|4|1||0|0|0|0|0||0|0|0|0|0||0|0|
JeremyMaclin|KAN|1||5|9|52|52.0|10.4|20|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
MichaelCrabtree|OAK|1||5|8|37|37.0|7.4|11|0.0|4|0||0|0|0|0|0||0|0|0|0|0||0|0|
T.Y.Hilton|IND|1||7|14|88|88.0|12.6|30|0.0|6|0||0|0|0|0|0||0|0|0|0|0||0|0|
DannyAmendola|NWE|1||2|3|24|24.0|12.0|18|5.0|2|0||0|0|N/A|0|0||1|1|1.0|1|0||0|0|
TedGinnJr.|CAR|1||2|7|54|54.0|27.0|37|0.0|2|0||0|0|N/A|0|0||3|46|15.3|37|0||0|0|
CalvinJohnson|DET|1||2|4|39|39.0|19.5|28|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
MalcomFloyd|SDG|1||1|2|29|29.0|29.0|29|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
JerrichoCotchery|CAR|1||4|6|45|45.0|11.3|24|0.0|3|1||0|0|0|0|0||0|0|0|0|0||0|0|
LarryFitzgerald|ARI|1||6|8|87|87.0|14.5|29|0.0|4|0||0|0|0|0|0||0|0|0|0|0||0|0|
AndreJohnson|IND|1||4|10|24|24.0|6.0|9|0.0|2|0||0|0|0|0|0||0|0|0|0|0||0|0|
VincentJackson|TAM|1||4|11|51|51.0|12.8|18|0.0|3|0||0|0|0|0|0||0|0|0|0|0||0|0|
NateWashington|HOU|1||6|11|105|105.0|17.5|32|0.0|5|0||0|0|0|0|0||0|0|0|0|0||0|0|
MarquesColston|NOR|1||3|7|29|29.0|9.7|14|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
BrandonMarshall|NYJ|1||6|9|62|62.0|10.3|18|0.0|5|1||0|0|0|0|0||0|0|0|0|0||0|0|
GregJennings|MIA|1||3|3|29|29.0|9.7|11|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
LanceMoore|DET|1||1|2|22|22.0|22.0|22|0.0|1|0||0|0|0|0|0||0|0|0|0|0||0|0|
